estacion,anio,semana,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR,WDR_E,WDR_N,WDR_NE,WDR_NO,WDR_O,WDR_S,WDR_SE,WDR_SO,ndvi_mediana
NE3,2022,2022-06-27,0.463,10.05,6.65,15.8,29.65,27.0,,730.0,0.0,60.5,2.8,0.0205,28.3,6.35,109.5,0.44642857142857145,0.05357142857142857,0.03571428571428571,0.07738095238095238,0.07738095238095238,0.041666666666666664,0.20238095238095238,0.017857142857142856,0.1420890986919403
NE3,2022,2022-07-04,0.433,9.8,4.7,13.7,30.0,34.0,,729.0,0.0,52.0,2.8,0.105,30.4,11.6,106.0,0.6845238095238095,0.005952380952380952,0.0,0.017857142857142856,0.011904761904761904,0.0,0.23809523809523808,0.0,0.176077514886856
NE3,2022,2022-07-11,0.436,9.6,4.9,13.8,35.0,33.0,,728.0,0.0,51.0,2.9,0.086,29.95,11.0,107.0,0.6785714285714286,0.0,0.023809523809523808,0.02976190476190476,0.02976190476190476,0.005952380952380952,0.20833333333333334,0.011904761904761904,0.1654209420084953
NE3,2022,2022-07-18,0.443,9.7,4.6,13.3,34.3,41.0,,728.0,0.0,50.5,3.1,0.14450000000000002,30.549999999999997,12.649999999999999,106.0,0.6488095238095238,0.0,0.005952380952380952,0.0,0.0,0.0,0.27380952380952384,0.0,0.1546262726187706
NE3,2022,2022-07-25,0.434,9.5,4.6,13.4,36.2,21.0,,729.0,0.0,50.0,2.9,0.111,29.5,13.1,106.0,0.7321428571428571,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.1315679103136062
NE3,2022,2022-08-01,0.435,9.6,4.6,13.1,35.7,35.0,,728.0,0.0,50.0,3.2,0.041499999999999995,30.2,12.7,107.0,0.6845238095238095,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.1548148095607757
NE3,2022,2022-08-08,0.4535,10.1,5.7,15.2,32.8,23.0,,730.0,0.0,57.5,3.0,0.028,28.5,7.2,108.0,0.5416666666666666,0.05357142857142857,0.05357142857142857,0.125,0.02976190476190476,0.005952380952380952,0.14285714285714285,0.011904761904761904,0.1125590987503528
NE3,2022,2022-08-15,0.4595,9.75,4.8,13.8,35.25,23.0,,728.0,0.0,60.5,3.0,0.0085,29.2,10.9,107.0,0.6011904761904762,0.011904761904761904,0.03571428571428571,0.0,0.005952380952380952,0.005952380952380952,0.23214285714285715,0.0,0.07831821590662
NE3,2022,2022-08-22,0.4635,9.7,5.4,14.7,33.65,25.5,,728.0,0.0,60.0,3.1,0.001,29.35,5.1,109.0,0.40476190476190477,0.07142857142857142,0.10714285714285714,0.05952380952380952,0.047619047619047616,0.05952380952380952,0.15476190476190477,0.011904761904761904,0.1542366296052932
NE3,2022,2022-08-29,0.437,9.8,4.95,13.8,34.5,18.0,,729.0,0.0,74.5,2.95,0.003,26.3,5.55,112.0,0.44047619047619047,0.005952380952380952,0.041666666666666664,0.0,0.023809523809523808,0.02976190476190476,0.35119047619047616,0.03571428571428571,0.0427400469779968
NE3,2022,2022-09-05,0.545,9.75,6.05,15.05,34.05,22.0,,729.0,0.0,74.0,2.8,0.02,25.299999999999997,2.95,123.0,0.26785714285714285,0.05952380952380952,0.047619047619047616,0.14285714285714285,0.1130952380952381,0.02976190476190476,0.2619047619047619,0.05357142857142857,0.2801297307014465
NE3,2022,2022-09-12,0.585,9.3,5.6,14.3,36.0,18.0,,729.0,0.0,68.0,2.9,0.007,26.4,6.9,113.0,0.44047619047619047,0.005952380952380952,0.011904761904761904,0.02976190476190476,0.023809523809523808,0.005952380952380952,0.42857142857142855,0.011904761904761904,0.1323760598897934
NE3,2022,2022-09-19,0.717,9.6,5.9,14.4,38.6,23.0,,730.0,0.0,63.0,2.6,0.010499999999999999,26.55,4.9,114.0,0.3869047619047619,0.023809523809523808,0.023809523809523808,0.05357142857142857,0.07738095238095238,0.0,0.39285714285714285,0.011904761904761904,0.3002570271492004
NE3,2022,2022-09-26,0.77,9.3,8.4,16.6,46.9,32.0,,732.0,0.0,64.0,3.1,0.005,23.0,3.75,130.0,0.24404761904761904,0.07142857142857142,0.041666666666666664,0.15476190476190477,0.18452380952380953,0.011904761904761904,0.25,0.011904761904761904,0.3121645748615265
NE3,2022,2022-10-10,0.411,9.4,6.25,14.850000000000001,37.2,30.0,,729.0,0.0,72.0,3.3,0.0,24.0,3.0,129.0,0.27380952380952384,0.011904761904761904,0.011904761904761904,0.11904761904761904,0.10119047619047619,0.047619047619047616,0.3333333333333333,0.023809523809523808,0.184191957116127
NE3,2022,2022-10-17,0.459,9.3,9.5,17.8,41.2,28.0,,731.0,0.0,74.0,3.95,0.0,19.8,3.2,137.0,0.18452380952380953,0.02976190476190476,0.011904761904761904,0.25,0.11904761904761904,0.041666666666666664,0.30357142857142855,0.005952380952380952,0.3059984892606735
NE3,2022,2022-10-24,0.5405,9.2,8.5,16.9,48.45,40.0,,729.0,0.0,57.0,3.6,0.002,21.85,3.8,152.0,0.125,0.05952380952380952,0.011904761904761904,0.19047619047619047,0.17857142857142858,0.03571428571428571,0.35714285714285715,0.02976190476190476,0.2890923023223877
