estacion,semana,ndvi_mediana,imagenes_utilizadas,pixeles_validos
NE3,2024-03-11,,0,0
NE3,2024-03-18,0.15214180946350098,1,7845
NE3,2024-03-25,0.2133168876171112,1,7845
NE3,2024-04-01,0.20232629776000977,1,7845
NE3,2024-04-08,0.08067582407966256,2,15690
NE3,2024-04-15,,0,0
NE3,2024-04-22,0.06901709921658039,2,15690
NE3,2024-04-29,-0.04196907579898834,1,7845
NE3,2024-05-06,0.020850040018558502,1,7845
NE3,2024-05-13,0.10062851570546627,2,15690
NE3,2024-05-20,0.14064915478229523,1,7845
NE3,2024-05-27,0.08132561109960079,2,15690
NE3,2024-06-03,0.2015974447131157,2,15690
NE3,2024-06-10,0.1940607726573944,1,7845
NE3,2024-06-17,0.18982188403606415,1,7845
NE3,2024-06-24,0.30696535110473633,1,7845
NE3,2024-07-01,0.12082957196980715,2,15690
NE3,2024-07-08,,0,0
NE3,2024-07-15,,0,0
NE3,2024-07-22,0.2691875398159027,2,15690
NE3,2024-07-29,0.2718130648136139,1,7845
NE3,2024-08-05,0.22560152038931847,2,15690
NE3,2024-08-12,0.22097758948802948,1,7845
NE3,2024-08-19,0.2744131088256836,1,7845
NE3,2024-08-26,0.1448098560795188,2,15690
NE3,2024-09-02,,0,0
NE3,2024-09-09,0.03152654692530632,1,7845
NE3,2024-09-16,0.2581709027290344,1,7845
NE3,2024-09-23,0.4065934121608734,1,7845
NE3,2024-09-30,0.39293140172958374,1,7845
NE3,2024-10-07,0.4034759998321533,1,7845
NE3,2024-10-14,0.25105130299925804,2,15690
NE3,2024-10-21,0.36454713344573975,1,7845
NE3,2024-10-28,0.3435635268688202,1,7845
NE3,2024-11-04,0.3368740379810333,1,7845
NE3,2024-11-11,0.17962263524532318,1,7845
NE3,2024-11-18,0.2925887405872345,2,15690
NE3,2024-11-25,,0,0
NE3,2024-12-02,-0.018134715035557747,1,7845
NE3,2024-12-09,0.25620273500680923,2,15690
NE3,2024-12-16,0.03543022274971008,1,7845
NE3,2024-12-23,0.28614160418510437,2,15690
NE3,2024-12-30,0.023542601615190506,1,7845
NE3,2025-01-06,,0,0
NE3,2025-01-13,0.1544799543917179,2,15690
NE3,2025-01-20,0.07013814896345139,1,7845
NE3,2025-01-27,0.19324412941932678,1,7845
NE3,2025-02-03,0.18918919563293457,1,7845
NE3,2025-02-10,,0,0
NE3,2025-02-17,-0.007452871650457382,1,7845
